Atoll	Constituency 	Constituent Islands	Name of MP	Const	Location
HA	Hoarafushi Dhaairaa	Hoarafushi	Ali Moosa	A01	HA - Hoarafushi
HA	Hoarafushi Dhaairaa	Thuraakunu	Ali Moosa	A01	HA - Thuraakunu
HA	Hoarafushi Dhaairaa	Uligamu	Ali Moosa	A01	HA - Uligamu
HA	Ihavandhoo Dhaairaa	Ihavandhoo	Ahmed Naseer	A02	HA - Ihavandhoo
HA	Ihavandhoo Dhaairaa	Maarandhoo	Ahmed Naseer	A02	HA - Maarandhoo
HA	Ihavandhoo Dhaairaa	Molhadhoo	Ahmed Naseer	A02	HA - Molhadhoo
HA	Baarashu Dhaairaa	Baarah	Ibrahim Shujaau	A03	HA - Baarah
HA	Baarashu Dhaairaa	Muraidhoo	Ibrahim Shujaau	A03	HA - Muraidhoo
HA	Baarashu Dhaairaa	Thakandhoo	Ibrahim Shujaau	A03	HA - Thakandhoo
HA	Baarashu Dhaairaa	Utheemu	Ibrahim Shujaau	A03	HA - Utheemu
HA	Dhidhdhoo Dhaairaa	Dhidhdhoo	Abdul Latheef Mohamed	A04	HA - Dhidhdhoo
HA	Kelaa Dhaairaa	Filladhoo	Abdulla Shareef	A05	HA - Filladhoo
HA	Kelaa Dhaairaa	Kelaa	Abdulla Shareef	A05	HA - Kelaa
HA	Kelaa Dhaairaa	Vashafaru	Abdulla Shareef	A05	HA - Vashafaru
HDh	Hanimaadhoo Dhaairaa	Finey	Abdul Gafoor Moosa	B01	HDh - Finey
HDh	Hanimaadhoo Dhaairaa	Hanimaadhoo	Abdul Gafoor Moosa	B01	HDh - Hanimaadhoo
HDh	Hanimaadhoo Dhaairaa	Naivaidhoo	Abdul Gafoor Moosa	B01	HDh - Naivaidhoo
HDh	Nolhivaram Dhaairaa	Nolhivaran	Mohamed Rasheed	B02	HDh - Nolhivaran
HDh	Nolhivaram Dhaairaa	Nolhivaranfaru	Mohamed Rasheed	B02	HDh - Nolhivaranfaru
HDh	Vaikaradhoo Dhaairaa	Kurinbi	Hussain Ziyad	B03	HDh - Kurinbi
HDh	Vaikaradhoo Dhaairaa	Nellaidhoo	Hussain Ziyad	B03	HDh - Nellaidhoo
HDh	Vaikaradhoo Dhaairaa	Vaikaradhoo	Hussain Ziyad	B03	HDh - Vaikaradhoo
HDh	Kulhudhuffushi Uthuru Dhaairaa	Kulhudhuffushi	Mohamed Dawood	B04	HDh - Kulhudhuffushi
HDh	Kulhudhuffushi Dhekunu Dhaairaa	Kulhudhuffushi	Faruhath Mohamed	B05	HDh - Kulhudhuffushi
HDh	Makunudhoo Dhaairaa	Kumundhoo	Adam Shafeeq	B06	HDh - Kumundhoo
HDh	Makunudhoo Dhaairaa	Makunudhoo	Adam Shafeeq	B06	HDh - Makunudhoo
HDh	Makunudhoo Dhaairaa	Neykurendhoo	Adam Shafeeq	B06	HDh - Neykurendhoo
Sh	Kanditheemu Dhaairaa	Bileyfahi	Ameen Faisal	C01	Sh - Bileyfahi
Sh	Kanditheemu Dhaairaa	Feydhoo	Ameen Faisal	C01	Sh - Feydhoo
Sh	Kanditheemu Dhaairaa	Goidhoo	Ameen Faisal	C01	Sh - Goidhoo
Sh	Kanditheemu Dhaairaa	Kanditheemu	Ameen Faisal	C01	Sh - Kanditheemu
Sh	Kanditheemu Dhaairaa	Noomaraa	Ameen Faisal	C01	Sh - Noomaraa
Sh	Milandhoo Dhaairaa	Feevah	Hassan Mufeed Abdul Gadir	C02	Sh - Feevah
Sh	Milandhoo Dhaairaa	Milandhoo	Hassan Mufeed Abdul Gadir	C02	Sh - Milandhoo
Sh	Milandhoo Dhaairaa	Narudhoo	Hassan Mufeed Abdul Gadir	C02	Sh - Narudhoo
Sh	Komandoo Dhaairaa	Foakaidhoo	Mohamed Ibrahim	C03	Sh - Foakaidhoo
Sh	Komandoo Dhaairaa	Komandoo	Mohamed Ibrahim	C03	Sh - Komandoo
Sh	Komandoo Dhaairaa	Maroshi	Mohamed Ibrahim	C03	Sh - Maroshi
Sh	Funadhoo Dhaairaa	Funadhoo	Mohamed Mamdhooh	C04	Sh - Funadhoo
