No.,Atoll,Location,name: en,Atoll: dv,fullname:dv,name: dv
1,HA,HA - Thuraakunu,Thuraakunu,ހއ,ހއ. ތުރާކުނު,ތުރާކުނު
2,HA,HA - Uligamu,Uligamu,ހއ,ހއ. އުލިގަން,އުލިގަން
3,HA,HA - Berinmadhoo,Berinmadhoo,ހއ,ހއ. ބެރިންމަދޫ,ބެރިންމަދޫ
4,HA,HA - Hathifushi,Hathifushi,ހއ,ހއ. ހަތިފުށި,ހަތިފުށި
5,HA,HA - Molhadhoo,Molhadhoo,ހއ,ހއ. މޮޅަދޫ,މޮޅަދޫ
6,HA,HA - Hoarafushi,Hoarafushi,ހއ,ހއ. ހޯރަފުށި,ހޯރަފުށި
7,HA,HA - Ihavandhoo,Ihavandhoo,ހއ,ހއ. އިހަވަންދޫ,އިހަވަންދޫ
8,HA,HA - Kelaa,Kelaa,ހއ,ހއ. ކެލާ,ކެލާ
9,HA,HA - Vashafaru,Vashafaru,ހއ,ހއ. ވަށަފަރު,ވަށަފަރު
10,HA,HA - Dhidhdhoo,Dhidhdhoo,ހއ,ހއ. ދިއްދޫ,ދިއްދޫ
11,HA,HA - Filladhoo,Filladhoo,ހއ,ހއ. ފިއްލަދޫ,ފިއްލަދޫ
12,HA,HA - Maarandhoo,Maarandhoo,ހއ,ހއ. މާރަންދޫ,މާރަންދޫ
13,HA,HA - Thakandhoo,Thakandhoo,ހއ,ހއ. ތަކަންދޫ,ތަކަންދޫ
14,HA,HA - Utheem,Utheem,ހއ,ހއ. އުތީމު,އުތީމު
15,HA,HA - Muraidhoo,Muraidhoo,ހއ,ހއ. މުރައިދޫ,މުރައިދޫ
16,HA,HA - Baarah,Baarah,ހއ,ހއ. ބާރަށް,ބާރަށް
17,HA,HA - Maafahi,Maafahi,ހއ,ހއ. މާފަހި,މާފަހި
18,HA,HA - Alidhoo,Alidhoo,ހއ,ހއ. އަލިދޫ,އަލިދޫ
19,HA,HA - Huvahandhoo,Huvahandhoo,ހއ,ހއ. ހުވަހަންދޫ,ހުވަހަންދޫ
20,HA,HA - Dhonakulhi,Dhonakulhi,ހއ,ހއ. ދޮނަކުޅި,ދޮނަކުޅި
21,HA,HA - Beenaafushi,Beenaafushi,ހއ,ހއ. ބީނާފުށި,ބީނާފުށި
22,HA,HA - Dhapparuhuraa,Dhapparuhuraa,ހއ,ހއ. ދައްޕަރުހުރާ,ދައްޕަރުހުރާ
23,HA,HA - Dhigufaruhuraa,Dhigufaruhuraa,ހއ,ހއ. ދިގުފަރުހުރާ,ދިގުފަރުހުރާ
24,HA,HA - Gaafushi,Gaafushi,ހއ,ހއ. ގާފުށި,ގާފުށި
25,HA,HA - Gaamathikulhudhoo,Gaamathikulhudhoo,ހއ,ހއ. ގާމަތިކުޅުދޫ,ގާމަތިކުޅުދޫ
26,HA,HA - Gallandhoo,Gallandhoo,ހއ,ހއ. ގައްލަންދޫ,ގައްލަންދޫ
27,HA,HA - Govvaafushi,Govvaafushi,ހއ,ހއ. ގޮށްވާފުށި,ގޮށްވާފުށި
28,HA,HA - Innafinolhu,Innafinolhu,ހއ,ހއ. އިންނަފިނޮޅު,އިންނަފިނޮޅު
29,HA,HA - Kudafinolhu,Kudafinolhu,ހއ,ހއ. ކުޑަފިނޮޅު,ކުޑަފިނޮޅު
31,HA,HA - Maafinolhu,Maafinolhu,ހއ,ހއ. މާފިނޮޅު,މާފިނޮޅު
32,HA,HA - Madulu,Madulu,ހއ,ހއ. މަޑުލު,މަޑުލު
33,HA,HA - Manafaru,Manafaru,ހއ,ހއ. މަނަފަރު,މަނަފަރު
34,HA,HA - Matheerah,Matheerah,ހއ,ހއ. މަތީރަށް,މަތީރަށް
35,HA,HA - Medhafushi,Medhafushi,ހއ,ހއ. މެދަފުށި,މެދަފުށި
36,HA,HA - Mulidhoo,Mulidhoo,ހއ,ހއ. މުލިދޫ,މުލިދޫ
37,HA,HA - Naridhoo,Naridhoo,ހއ,ހއ. ނަރިދޫ,ނަރިދޫ
38,HA,HA - Ubulifinolhu,Ubulifinolhu,ހއ,ހއ. އުނބުލިފިނޮޅު,އުނބުލިފިނޮޅު
39,HA,HA - Umaraiyfinolhu,Umaraiyfinolhu,ހއ,ހއ. އުމަރަތްފިނޮޅު,އުމަރަތްފިނޮޅު
40,HA,HA - Vangaaru,Vangaaru,ހއ,ހއ. ވަނގާރު,ވަނގާރު
41,HA,HA - Velifinolhu,Velifinolhu,ހއ,ހއ. ވެލިފިނޮޅު,ވެލިފިނޮޅު
42,HDh,HDh - Faridhoo,Faridhoo,ހދ,ހދ. ފަރިދޫ,ފަރިދޫ
43,HDh,HDh - Hondaidhoo,Hondaidhoo,ހދ,ހދ. ހޮނޑައިދޫ,ހޮނޑައިދޫ
44,HDh,HDh - Hanimaadhoo,Hanimaadhoo,ހދ,ހދ. ހަނިމާދޫ,ހަނިމާދޫ
45,HDh,HDh - Finey,Finey,ހދ,ހދ. ފިނޭ,ފިނޭ
46,HDh,HDh - Naavaidhoo ,Naavaidhoo ,ހދ,ހދ. ނައިވާދޫ,ނައިވާދޫ
47,HDh,HDh - Hirimaradhoo,Hirimaradhoo,ހދ,ހދ. ހިރިމަރަދޫ,ހިރިމަރަދޫ
48,HDh,HDh - Nolhivaranfaru,Nolhivaranfaru,ހދ,ހދ. ނޮޅިވަރަންފަރު,ނޮޅިވަރަންފަރު
49,HDh,HDh - Nellaidhoo,Nellaidhoo,ހދ,ހދ. ނެއްލައިދޫ,ނެއްލައިދޫ
50,HDh,HDh - Nolhivaram,Nolhivaram,ހދ,ހދ. ނޮޅިވަރަމް,ނޮޅިވަރަމް
51,HDh,HDh - Kurinbi,Kurinbi,ހދ,ހދ. ކުރިނބި,ކުރިނބި
52,HDh,HDh - Kunburudhoo,Kunburudhoo,ހދ,ހދ. ކުނބުރުދޫ,ކުނބުރުދޫ
53,HDh,HDh - Kulhudhuffushi,Kulhudhuffushi,ހދ,ހދ. ކުޅުދުއްފުށި,ކުޅުދުއްފުށި
54,HDh,HDh - Kumundhoo,Kumundhoo,ހދ,ހދ. ކުމުންދޫ,ކުމުންދޫ
55,HDh,HDh - Neykurendhoo,Neykurendhoo,ހދ,ހދ. ނޭކުރެންދޫ,ނޭކުރެންދޫ
56,HDh,HDh - Vaikaradhoo,Vaikaradhoo,ހދ,ހދ. ވައިކަރަދޫ,ވައިކަރަދޫ
57,HDh,HDh - Maavaidhoo,Maavaidhoo,ހދ,ހދ. މާވައިދޫ,މާވައިދޫ
58,HDh,HDh - Makunudhoo,Makunudhoo,ހދ,ހދ. މަކުނުދޫ,މަކުނުދޫ
59,HDh,HDh - Vaikaramuraidhoo,Vaikaramuraidhoo,ހދ,ހދ. ވައިކަރަމުރާދޫ,ވައިކަރަމުރާދޫ
60,HDh,HDh - Theefaridhoo,Theefaridhoo,ހދ,ހދ. ތީފަރިދޫ,ތީފަރިދޫ
61,HDh,HDh - Dhipparufushi,Dhipparufushi,ހދ,ހދ. ދިއްޕަރުފުށި,ދިއްޕަރުފުށި
62,HDh,HDh - Fenboahuraa,Fenboahuraa,ހދ,ހދ. ފެންބޯހުރާ,ފެންބޯހުރާ
63,HDh,HDh - Hirinaidhoo,Hirinaidhoo,ހދ,ހދ. ހިރިނައިދޫ,ހިރިނައިދޫ
64,HDh,HDh - Hodaafushi,Hodaafushi,ހދ,ހދ. ހޮނޑާފުށި,ހޮނޑާފުށި
65,HDh,HDh - Innafushi,Innafushi,ހދ,ހދ. އިންނަފުށި,އިންނަފުށި
66,HDh,HDh - Kanamana,Kanamana,ހދ,ހދ. ކަނަމަނަ,ކަނަމަނަ
68,HDh,HDh - Kattalafushi,Kattalafushi,ހދ,ހދ. ކައްޓަލަފުށި,ކައްޓަލަފުށި
